ETF,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity,Out_Sentiment
VOO,0.2957526678077266,0.1,0.45650458356925405,0.9035722894479792,0.7022040090047585,0.3860453567290185
IVV,0.29812086347306954,0.1,0.4606846862460789,0.8965896935573602,0.6887615761023415,0.2899519947028638
SPY,0.3032518994266583,0.18024691358024697,0.451187660451853,1.0,0.6872207918256206,0.3721900347624567
VTI,0.3153784934703048,0.1,0.450681544861802,0.8197102236831857,0.6849035493307093,0.40437013739447125
QQQ,0.43998876169352746,0.28518518518518526,0.4616231284461534,1.0,0.30883086421417305,0.3748717099817912
VEA,0.23120217080132613,0.1,0.5761374782065367,1.0,,0.5177454063896707
VUG,0.43748708985782603,0.1,0.44254635947730886,0.6817436712710387,0.31898548184894115,0.6448270153948024
IEFA,0.2250446325218876,0.14938271604938275,0.6117195926936596,0.9725930410075392,,0.5281741433537495
VTV,0.20078697225811942,0.1,0.4727739279584705,0.7796911123512582,0.9376285671919443,0.64601887104784
IEMG,0.33786363676698183,0.1740740740740741,0.5643271358830584,0.9952613156656218,,0.5828505214368483
VXUS,0.2357385118404362,0.12469135802469138,0.5747227847568173,0.8368095598822911,,0.4171825856646252
IWF,0.44072386441427247,0.28518518518518526,0.42948339238070454,0.7132567310115885,0.3272232182575523,0.5765932792584011
VWO,0.3242924322939681,0.13703703703703707,0.5308972956283642,0.9695686459428761,,0.5231087568283398
VGT,0.5739145449992242,0.1740740740740741,0.47111576177641723,0.621420886292921,0.1,0.5083595431219998
IJH,0.4394614607200767,0.12469135802469138,0.39956093459978775,0.9563888885786408,0.801105374546729,0.3943883463002815
VIG,0.19798151322115742,0.11234567901234568,0.42775539926526257,0.6783515094176864,0.7583759082269523,0.5864260883959611
IJR,0.5486123748892401,0.13703703703703707,0.37938262837450526,0.8520974551720066,0.892399875982368,0.762522761132263
VO,0.30804329710221606,0.1,0.4166319809164882,0.637161618233959,1.0,0.34537328256911115
XLK,0.5489688729399023,0.16172839506172842,0.47524623402500643,1.0,0.1,0.1429068035093528
SCHD,0.2498518643424893,0.13703703703703707,0.5529334596008537,1.0,0.8466252375881268,0.5868730342658502
RSP,0.2750824962628946,0.3098765432098766,0.40992130028940854,0.9608903567071494,0.9941280347249372,0.440423770898858
ITOT,0.3153603219859763,0.1,0.4472358003559357,0.7424742613758031,0.7136688998827225,0.47319980135739126
EFA,0.22704857868084968,0.4580246913580248,0.5950862918307149,1.0,,0.5247475583512665
VYM,0.20021590478821744,0.11234567901234568,0.5043623104695949,0.6923289573993572,0.9696453365326289,0.5861281244827017
QQQM,0.43711656457138615,0.2481481481481482,0.4661704102084576,0.7722303220813385,0.3153215696318564,0.3078298294984275
IWM,0.5433653783937724,0.29753086419753094,0.3900573201096186,1.0,0.8373441354488226,0.3461181923522596
VB,0.4762296116938602,0.1,0.4124827689598394,0.6455738776787868,0.854923634795034,0.814219500082768
IWD,0.2297278211112852,0.28518518518518526,0.43947204304844273,0.7613480092589116,1.0,0.6604701208409205
VT,0.2522681347167964,0.13703703703703707,0.4929974721480266,0.7489505748472474,0.7311634741113194,0.43580533024333734
IVW,0.41565693981678575,0.28518518518518526,0.44341965415283907,0.7611477922282317,0.3916328538883572,0.12383711306075157
SCHX,0.30468510604364274,0.1,0.4554548729730329,0.9576061718853857,0.7074814984565198,0.2181426916073498
VEU,0.23391677241664566,0.11234567901234568,0.5713288669111676,0.7565612405375463,,0.2095017381228274
SCHF,0.2324470588670421,0.1,0.6229235321908457,0.9254326995118047,0.8271409891754177,0.3680185399768251
IXUS,0.238549918729533,0.14938271604938275,0.5942416916433797,0.6959488126826046,,0.48392650223472955
SCHG,0.44471936913604065,0.11234567901234568,0.4440316192953046,0.898871987140749,0.3825216019842821,0.6923522595596757
IWR,0.35749061017729516,0.28518518518518526,0.4048050951169313,0.6697086565049469,0.9774099187145303,0.11579208740274793
XLF,0.27304073145961605,0.16172839506172842,0.4703128899967222,0.9497316363377941,0.10359111925912945,0.1
SMH,0.8951590510949168,0.4950617283950618,0.5794183949504058,0.8880768525746641,0.1111494547268242,0.6043039231915247
QUAL,0.285793891209923,0.2481481481481482,0.41916812118291613,0.6516773586189666,0.6640968955151451,0.6963747723886775
VV,0.30687109497381404,0.1,0.45360023783757675,0.5374022017018414,0.6978000350484613,0.19519947028637646
IVE,0.2516496483937788,0.28518518518518526,0.42822842790315635,0.5874977374659464,1.0,0.7169342824035757
JEPI,0.17693812833142175,0.4950617283950618,0.5802898266914718,0.7722006462061969,0.9774099187145303,0.6741764608508526
IWB,0.30496444598051575,0.2481481481481482,0.4420930969272446,0.6025555912251961,0.7395589285955004,0.5649726866412847
DIA,0.2346341955449487,0.2604938271604939,0.41556572684418847,0.7639084086111407,0.5735303236590594,0.2468962092368814
DFAC,0.3251127725121452,0.2728395061728396,0.4213028255594966,0.6733564545190465,0.8501556960489601,1.0
VONG,0.4394365215638026,0.13703703703703707,0.4407644869421101,0.611131517637066,0.34254613590714855,0.5895547094851847
XLE,0.45853291472142177,0.16172839506172842,0.4710736029514535,0.9108829012438111,0.1,0.18924019202118858
SCHB,0.31011992919849213,0.1,0.45243033044484365,0.7629347561358837,0.657678983055417,0.6163714616785302
DGRO,0.18624972776437623,0.16172839506172842,0.4752592679444517,0.6393441064449799,0.8603345780030466,0.6026651216685981
XLV,0.2629742376675388,0.16172839506172842,0.32076954511819805,0.8877554055957824,0.1,0.1
SPDW,0.22286475540781311,0.1,0.6112399753598227,0.732950406026903,,0.2868233736136402
VNQ,0.3412461111259806,0.22345679012345687,0.5649433500170448,0.7451877075644782,0.1,0.28741930144015904
JEPQ,0.34644519687644604,0.4950617283950618,0.6673112699500638,0.7431782169159136,0.38614911772238925,0.49763284224466164
VBR,0.44938984220135797,0.12469135802469138,0.4628391567104889,0.5106620330459789,0.8936980170659047,0.8118357887766927
SPYV,0.24999194422083118,0.11234567901234568,0.44587615617818416,0.6728752636618132,0.9973794535136082,0.10342658500248307
DYNF,0.3131617814956868,0.38395061728395075,0.5015926522509684,0.6240233109673168,0.4481565857406684,0.5523092203277605
GDX,0.8532892517374002,0.6925925925925928,0.6199954914337241,0.8850154266163478,,0.5834464492633671
CGDV,0.20739301375759786,0.47037037037037055,0.507582152098976,0.6633869738563583,0.7242360109459041,0.7866578381062739
VGK,0.2417923132101898,0.13703703703703707,0.5560672177656496,0.6752578990902478,,0.3023174971031287
XLI,0.32102542658496147,0.16172839506172842,0.48371331531084083,0.8570795545210157,0.12426431931844223,0.25896374772388686
EFV,0.21763642228856056,0.4456790123456792,0.7127092148243324,0.6605642640445443,,0.460089389173978
ACWI,0.2507377948981105,0.4580246913580248,0.47382700463888383,0.6950753850243802,0.6985886254263107,0.5536500579374277
MGK,0.45425888988259144,0.12469135802469138,0.4480518495275171,0.48759394827893837,0.29318037825377785,0.7513491143850358
IDEV,0.21464875651642706,0.11234567901234568,0.6047035144214529,0.5565817555658322,,0.34403244495944385
TQQQ,1.0,1.0,0.6260820559062219,0.8863946109687566,,0.34000993213044206
IUSG,0.41373211933915893,0.11234567901234568,0.45178205573846997,0.49707837543387945,0.33947669951336557,0.9194007614633342
EEM,0.34085708642728796,0.9518518518518521,0.5168398106799477,0.870774521605624,,0.43327263698063245
VXF,0.5158760716058818,0.12469135802469138,0.4291756550311551,0.48040761698024803,0.8460428939244841,0.34805495778844575
XLU,0.3293993489110937,0.16172839506172842,0.49901888909598,0.8545465172405549,0.1,0.1
MDY,0.4379919111344353,0.3469135802469137,0.381616593607557,0.5230013559025511,0.8117574107275252,0.31572587319980144
