ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),Div_Score (產出),FinBERT_score
VOO,3.0,2026-04-14,18.64,1.19,14.85,-18.97,0.03,6.35,906.08,5.7637,-0.0556
IVV,3.0,2026-04-14,18.65,1.23,14.95,-19.01,0.03,6.07,783.61,5.6529,-0.1201
SPY,3.0,2026-04-14,18.62,1.14,15.25,-19.0,0.095,70.29,723.39,5.6402,-0.0649
VTI,3.0,2026-04-14,18.33,1.17,15.43,-19.59,0.03,3.61,615.14,5.6211,-0.0433
QQQ,3.0,2026-04-14,24.86,0.49,19.67,-22.88,0.18,46.62,425.95,2.5213,-0.0631
VEA,3.0,2026-04-14,13.91,2.94,15.15,-14.37,0.03,12.01,217.57,,0.0328
VUG,3.0,2026-04-14,23.55,0.46,19.39,-23.04,0.03,1.14,210.58,2.605,0.1181
IEFA,3.0,2026-04-14,12.01,3.52,15.24,-13.86,0.07,9.79,183.12,,0.0398
VTV,3.0,2026-04-14,13.09,2.02,12.44,-15.51,0.03,2.69,170.7,7.7042,0.1189
IEMG,3.0,2026-04-14,15.1,2.68,17.25,-18.96,0.09,11.24,150.45,,0.0765
VXUS,3.0,2026-04-14,13.38,2.99,14.83,-15.04,0.05,4.07,145.71,,-0.0347
IWF,3.0,2026-04-14,22.98,0.4,19.16,-23.52,0.18,1.55,124.56,2.6729,0.0723
VWO,3.0,2026-04-14,12.12,2.71,16.1,-19.4,0.06,9.61,119.73,,0.0364
VGT,3.0,2026-04-14,26.05,0.44,23.37,-27.41,0.09,0.53,121.23,0.8,0.0265
IJH,3.0,2026-04-14,12.91,1.32,18.14,-24.62,0.05,8.86,115.46,6.5789,-0.05
VIG,3.0,2026-04-14,12.81,1.61,12.41,-15.36,0.04,1.1,105.23,6.2267,0.0789
IJR,3.0,2026-04-14,11.51,1.29,20.64,-28.91,0.06,4.52,100.72,7.3314,0.1971
VO,3.0,2026-04-14,12.73,1.51,14.91,-19.71,0.03,0.67,98.62,8.2576,-0.0829
XLK,3.0,2026-04-14,25.31,0.57,23.35,-25.79,0.08,13.07,99.36,0.8,-0.2188
SCHD,3.0,2026-04-14,7.87,3.44,13.39,-17.64,0.06,13.72,87.51,6.9541,0.0792
RSP,3.0,2026-04-14,11.27,1.62,14.09,-18.49,0.2,9.11,88.2,8.1699,-0.0191
ITOT,3.0,2026-04-14,18.38,1.13,15.36,-19.67,0.03,2.0,87.78,5.8582,0.0029
EFA,3.0,2026-04-14,12.06,3.35,15.19,-14.05,0.32,15.22,76.83,,0.0375
VYM,3.0,2026-04-14,12.77,2.37,12.83,-15.02,0.04,1.27,76.31,7.9681,0.0787
QQQM,3.0,2026-04-14,24.9,0.53,19.55,-22.83,0.15,2.54,79.39,2.5748,-0.1081
IWM,3.0,2026-04-14,14.62,1.02,21.23,-27.88,0.19,34.23,77.54,6.8776,-0.0824
VB,3.0,2026-04-14,13.8,1.34,19.09,-25.94,0.03,0.75,76.36,7.0225,0.2318
IWD,3.0,2026-04-14,13.27,1.67,13.23,-16.5,0.18,2.43,73.32,8.5616,0.1286
VT,3.0,2026-04-14,16.4,1.82,14.26,-16.79,0.06,2.31,70.01,6.0024,-0.0222
IVW,3.0,2026-04-14,23.87,0.43,18.84,-22.24,0.18,2.57,69.26,3.2038,-0.2316
SCHX,3.0,2026-04-14,18.72,1.17,15.09,-19.28,0.03,9.86,67.39,5.8072,-0.1683
VEU,3.0,2026-04-14,13.6,2.93,14.83,-14.92,0.04,2.67,64.34,,-0.1741
SCHF,3.0,2026-04-14,13.92,3.4,15.1,-14.51,0.03,8.49,63.39,6.7935,-0.0677
IXUS,3.0,2026-04-14,13.4,3.18,15.05,-14.97,0.07,1.87,56.68,,0.0101
SCHG,3.0,2026-04-14,23.92,0.43,19.43,-23.47,0.04,8.2,53.9,3.1287,0.15
IWR,3.0,2026-04-14,13.67,1.28,16.08,-21.61,0.18,1.63,52.24,8.0321,-0.237
XLF,3.0,2026-04-14,16.37,1.6,16.25,-15.85,0.08,42.96,51.77,0.8296,-0.2813
SMH,3.0,2026-04-14,52.51,0.29,34.19,-36.02,0.35,7.78,52.91,0.8919,0.0909
QUAL,3.0,2026-04-14,17.33,0.98,14.75,-18.43,0.15,1.46,49.86,5.4496,0.1527
VV,3.0,2026-04-14,18.9,1.13,15.24,-19.25,0.03,0.3,50.01,5.7274,-0.1837
IVE,3.0,2026-04-14,12.6,1.64,12.88,-18.35,0.18,0.75,48.73,8.3126,0.1665
JEPI,3.0,2026-04-14,1.85,8.4,10.43,-15.93,0.35,4.15,45.32,8.0321,0.1378
IWB,3.0,2026-04-14,18.54,1.06,15.08,-19.31,0.15,0.97,46.43,6.0716,0.0645
