ETF,DEA_Score,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity,Cross_Score
SCHF,1.0,0.2324470588670421,0.1,0.6229235321908457,0.9254326995118048,0.8271409891754177,0.9403
VTV,1.0,0.2007869722581194,0.1,0.4727739279584705,0.7796911123512582,0.9376285671919444,0.9395
VYM,1.0,0.2002159047882174,0.1123456790123456,0.5043623104695949,0.6923289573993572,0.9696453365326289,0.8586
SCHD,0.9743,0.2498518643424893,0.137037037037037,0.5529334596008537,1.0,0.8466252375881268,0.7892
SCHX,1.0,0.3046851060436427,0.1,0.4554548729730329,0.9576061718853855,0.7074814984565198,0.7754
SPYV,0.9342,0.2499919442208311,0.1123456790123456,0.4458761561781841,0.6728752636618132,0.9973794535136082,0.7691
VOO,0.9517,0.2957526678077266,0.1,0.456504583569254,0.9035722894479792,0.7022040090047585,0.7592
VIG,0.8554,0.1979815132211574,0.1123456790123456,0.4277553992652625,0.6783515094176864,0.7583759082269523,0.7513
IVV,0.9426,0.2981208634730695,0.1,0.4606846862460789,0.8965896935573602,0.6887615761023415,0.7492
VO,1.0,0.308043297102216,0.1,0.4166319809164882,0.637161618233959,1.0,0.7374
SCHV,0.8991,0.2187854888642723,0.1123456790123456,0.4674570048410695,0.5284907324411279,0.9269401345321706,0.7222
VTI,0.8746,0.3153784934703048,0.1,0.450681544861802,0.8197102236831857,0.6849035493307093,0.696
IUSV,0.9325,0.2581834958478297,0.1123456790123456,0.444616942709115,0.5005115270166834,1.0,0.6834
ITOT,0.835,0.3153603219859763,0.1,0.4472358003559357,0.7424742613758031,0.7136688998827225,0.6731
SCHB,0.8187,0.3101199291984921,0.1,0.4524303304448436,0.7629347561358837,0.657678983055417,0.6661
DGRO,0.8917,0.1862497277643762,0.1617283950617284,0.4752592679444517,0.6393441064449799,0.8603345780030466,0.6646
USMV,1.0,0.1,0.2481481481481482,0.3710168607046821,0.6179765357947544,0.8090640712831781,0.6556
MGV,1.0,0.1723740802342531,0.1246913580246913,0.4783003539487195,0.3457247012570434,0.868912014882116,0.6446
VONV,0.8914,0.228574118395136,0.137037037037037,0.4546884542296871,0.4552678262282366,1.0,0.6257
IJH,0.8187,0.4394614607200767,0.1246913580246913,0.3995609345997877,0.9563888885786408,0.801105374546729,0.6064
HDV,1.0,0.1166656231412203,0.1617283950617284,0.5113209997654118,0.3995226018026026,0.581355566639257,0.5981
VOE,0.8246,0.2897839399714429,0.1246913580246913,0.4623870640126358,0.4379420849887263,0.9829179191998167,0.5856
VB,0.8934,0.4762296116938602,0.1,0.4124827689598394,0.6455738776787868,0.854923634795034,0.5848
SPSM,0.8997,0.542880040313189,0.1,0.4071228041101458,0.5220555882987605,0.8726365878974969,0.5221
SPMD,0.8186,0.438204512986129,0.1,0.4021852110903406,0.515870447343257,0.767414367173072,0.5211
SCHM,0.8078,0.4203213010660062,0.1123456790123456,0.4175030793600373,0.4673463951987137,0.8745049404850169,0.5099
SCHG,0.8382,0.4447193691360406,0.1123456790123456,0.4440316192953046,0.898871987140749,0.3825216019842821,0.4993
XLP,0.9758,0.180401924538333,0.1617283950617284,0.4071910307739999,0.7888604733162685,0.1,0.4688
XLF,0.8371,0.273040731459616,0.1617283950617284,0.4703128899967222,0.949731636337794,0.1035911192591294,0.4457
JEPI,0.8326,0.1769381283314217,0.4950617283950618,0.5802898266914718,0.7722006462061969,0.9774099187145304,0.4442
SPLV,0.9309,0.1039867889678489,0.371604938271605,0.3876964259116704,0.4704434076835783,0.6513702600326221,0.4217
XLV,0.8077,0.2629742376675388,0.1617283950617284,0.320769545118198,0.8877554055957824,0.1,0.4057
