ETF,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity,Out_Sentiment,Super_Score
USMV,0.1,0.2481481481481482,0.3710168607046821,0.6179765357947544,0.8090640712831781,0.716785300446946,1.4361
HDV,0.1166656231412203,0.1617283950617284,0.5113209997654118,0.3995226018026026,0.581355566639257,0.6822214865088563,1.3869
SCHF,0.2324470588670421,0.1,0.6229235321908457,0.9254326995118048,0.8271409891754177,0.3680185399768251,1.3176
VTV,0.2007869722581194,0.1,0.4727739279584705,0.7796911123512582,0.9376285671919444,0.64601887104784,1.0929
VO,0.308043297102216,0.1,0.4166319809164882,0.637161618233959,1.0,0.3453732825691111,1.0665
SCHX,0.3046851060436427,0.1,0.4554548729730329,0.9576061718853855,0.7074814984565198,0.2181426916073498,1.0348
VYM,0.2002159047882174,0.1123456790123456,0.5043623104695949,0.6923289573993572,0.9696453365326289,0.5861281244827017,1.0171
MGV,0.1723740802342531,0.1246913580246913,0.4783003539487195,0.3457247012570434,0.868912014882116,0.563333885118358,1.0089
XLP,0.180401924538333,0.1617283950617284,0.4071910307739999,0.7888604733162685,0.1,0.1,0.9758
SCHD,0.2498518643424893,0.137037037037037,0.5529334596008537,1.0,0.8466252375881268,0.5868730342658502,0.9743
VOO,0.2957526678077266,0.1,0.456504583569254,0.9035722894479792,0.7022040090047585,0.3860453567290185,0.9517
IVV,0.2981208634730695,0.1,0.4606846862460789,0.8965896935573602,0.6887615761023415,0.2899519947028638,0.9426
SPYV,0.2499919442208311,0.1123456790123456,0.4458761561781841,0.6728752636618132,0.9973794535136082,0.103426585002483,0.9342
IUSV,0.2581834958478297,0.1123456790123456,0.444616942709115,0.5005115270166834,1.0,0.6767091541135575,0.9325
SPLV,0.1039867889678489,0.371604938271605,0.3876964259116704,0.4704434076835783,0.6513702600326221,0.1041714947856315,0.9309
SPSM,0.542880040313189,0.1,0.4071228041101458,0.5220555882987605,0.8726365878974969,0.1041714947856315,0.8997
SCHV,0.2187854888642723,0.1123456790123456,0.4674570048410695,0.5284907324411279,0.9269401345321706,0.7951498096341667,0.8991
VB,0.4762296116938602,0.1,0.4124827689598394,0.6455738776787868,0.854923634795034,0.814219500082768,0.8934
DGRO,0.1862497277643762,0.1617283950617284,0.4752592679444517,0.6393441064449799,0.8603345780030466,0.6026651216685981,0.8917
