ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),Div_Score (產出),FinBERT_score,User_Pref_Score
VTV,3.0,2026-04-14,13.09,2.02,12.44,-15.51,0.03,2.69,170.7,7.7042,0.1189,0.6955337432761418
VYM,3.0,2026-04-14,12.77,2.37,12.83,-15.02,0.04,1.27,76.31,7.9681,0.0787,0.6677203229341698
SCHF,3.0,2026-04-14,13.92,3.4,15.1,-14.51,0.03,8.49,63.39,6.7935,-0.0677,0.6613991805149116
VOO,3.0,2026-04-14,18.64,1.19,14.85,-18.97,0.03,6.35,906.08,5.7637,-0.0556,0.6603228195520241
SCHV,3.0,2026-04-18,13.07,1.97,12.85,-16.22,0.04,1.88,15.08,7.6161,0.219,0.6497281308362739
DGRO,3.0,2026-04-14,12.63,2.1,12.08,-14.97,0.08,1.72,39.37,7.0671,0.0898,0.6380183271365542
VIG,3.0,2026-04-14,12.81,1.61,12.41,-15.36,0.04,1.1,105.23,6.2267,0.0789,0.6358232372873791
VONV,3.0,2026-04-14,13.27,1.82,13.13,-16.54,0.06,0.68,18.25,8.569,0.2152,0.6274634463007224
IUSV,3.0,2026-04-14,12.53,1.81,13.07,-18.56,0.04,0.72,25.29,8.2508,0.1395,0.6152041480150525
SCHD,3.0,2026-04-14,7.87,3.44,13.39,-17.64,0.06,13.72,87.51,6.9541,0.0792,0.6114530662185899
USMV,3.0,2026-04-14,8.34,1.59,10.48,-9.68,0.15,2.52,23.13,6.6445,0.1664,0.5924174487309732
HDV,3.0,2026-04-15,8.78,2.92,11.67,-10.61,0.08,0.53,13.32,4.7676,0.1432,0.5914327596181937
VO,3.0,2026-04-14,12.73,1.51,14.91,-19.71,0.03,0.67,98.62,8.2576,-0.0829,0.558685822336134
VOE,3.0,2026-04-14,12.49,1.99,14.08,-19.47,0.05,0.33,22.22,8.0775,-0.0796,0.5528485693610411
JEPI,3.0,2026-04-14,1.85,8.4,10.43,-15.93,0.35,4.15,45.32,8.0321,0.1378,0.5212229350845826
SCHG,3.0,2026-04-14,23.92,0.43,19.43,-23.47,0.04,8.2,53.9,3.1287,0.15,0.5199295618361762
XLF,3.0,2026-04-14,16.37,1.6,16.25,-15.85,0.08,42.96,51.77,0.8296,-0.2813,0.4889937078628464
IJH,3.0,2026-04-14,12.91,1.32,18.14,-24.62,0.05,8.86,115.46,6.5789,-0.05,0.45724175952856644
SPLV,3.0,2026-04-15,5.31,2.12,10.95,-10.52,0.25,2.36,7.38,5.3447,-0.2448,0.4519111815706312
VB,3.0,2026-04-14,13.8,1.34,19.09,-25.94,0.03,0.75,76.36,7.0225,0.2318,0.44817617239824914
SCHM,3.0,2026-04-15,13.63,1.41,17.76,-23.8,0.04,1.14,14.16,7.1839,-0.086,0.4387924879384043
XLP,3.0,2026-04-15,2.51,2.65,12.11,-14.55,0.08,13.16,14.54,0.8,-0.2929,0.41502999950174924
SPSM,3.0,2026-04-15,11.29,1.59,20.53,-28.66,0.03,1.78,15.07,7.1685,-0.2448,0.3633609888521107
XLV,3.0,2026-04-14,3.24,1.71,13.73,-18.11,0.08,9.9,39.02,0.8,-0.3151,0.3474321587436479
