ETF,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity,Out_Sentiment
VOO,0.31202435657426353,0.1,0.46390809884047957,0.907349773799826,0.6981482473288168,0.3838112797550458
IVV,0.3145170730573779,0.1,0.46812672547694123,0.9002939775348004,0.6847963473743406,0.28824943206137044
SPY,0.3198058512492357,0.18125000000000002,0.45853902738573804,1.0,0.6832659400690894,0.3700325947387484
VTI,0.333016543314051,0.1,0.4579034003828947,0.8226085601208988,0.6809643038856011,0.40203470187337464
QQQ,0.4655527820783367,0.2875,0.4717575030832822,1.0,0.3074244168920548,0.3726994369999673
VEA,0.2400114880595346,0.1,0.5824749725213765,1.0,,0.5147828663615714
VUG,0.46315401424896996,0.1,0.451958322797711,0.6831956683458087,0.3175106445652465,0.6411615579626646
IEFA,0.2330595736129003,0.15000000000000002,0.6175268206845661,0.9770940879047649,,0.5251539195996447
VTV,0.20991396118749645,0.1,0.477911224695155,0.782169918004318,0.9319872533004847,0.642346821189873
IEMG,0.35551347432469527,0.175,0.5710824513512258,1.0,,0.579527870147829
VXUS,0.24547416657105386,0.125,0.5808195789707256,0.8398871531224145,,0.41477628156586466
IWF,0.4670539998707412,0.2875,0.43854205906484967,0.7150390877130408,0.32569290094529096,0.573305238204985
VWO,0.3420044203976234,0.1375,0.5360908045947355,0.9740379873176064,,0.5201165508840091
VGT,0.6091493099176375,0.175,0.4818422546404042,0.6222405038751921,0.1,0.5054489184473056
IJH,0.46702499832980177,0.125,0.4040213997842993,0.9607200631184631,0.79638352569424,0.3921081223455045
VIG,0.206842044446155,0.1125,0.4324033152378643,0.6797679455747687,0.7539418364887663,0.5830836598294542
IJR,0.5847508445393956,0.1375,0.3830727615887547,0.8553353154069014,0.8870631711431862,0.7582063016494918
VO,0.3255783696976651,0.1,0.42115430214617083,0.6381462500157576,0.9986744503655305,0.34336417212656
XLK,0.5815025630282002,0.1625,0.485686610814967,1.0,0.1,0.14201758140453696
SCHD,0.26306707316630384,0.1375,0.5564699386439751,1.0,0.8415968186808774,0.5835281335396573
RSP,0.29011563944630747,0.3125,0.4137575404954925,0.9652687213117481,0.9881062046434406,0.437888914496428
ITOT,0.3330905040513201,0.1,0.45445107901974857,0.7445629130706064,0.7095359237340333,0.47048365324465835
