ETF,DEA_Score,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity
VTV,1.0,0.2099139611874964,0.1,0.477911224695155,0.782169918004318,0.9319872533004848
VO,1.0,0.3255783696976651,0.1,0.4211543021461708,0.6381462500157576,0.9986744503655304
SCHF,1.0,0.2414597405964205,0.1,0.6296481446123836,0.9318120182646006,0.8222437940176205
SCHX,1.0,0.3216109180499056,0.1,0.4628843846594457,0.9614067785753148,0.7033901936105831
VYM,1.0,0.2087560644536781,0.1125,0.5096197177829267,0.6939091166476957,0.9637883940765338
USMV,1.0,0.1,0.25,0.3732681178304014,0.6219104005652492,0.804288621696168
SCHD,0.9547,0.2630670731663038,0.1375,0.5564699386439751,1.0,0.8415968186808774
VOO,0.9513,0.3120243565742635,0.1,0.4639080988404795,0.907349773799826,0.6981482473288168
IVV,0.9423,0.3145170730573779,0.1,0.4681267254769412,0.9002939775348004,0.6847963473743406
IUSV,0.9329,0.2727400810191405,0.1125,0.4492817694169371,0.5027464429930467,0.9978550196824038
SPYV,0.9312,0.264069546149031,0.1125,0.4505599317807696,0.6770741103216217,0.9913357255710576
DGRO,0.911,0.1942710201716383,0.1625,0.480218035781554,0.6435360542691939,0.8552138285622474
VB,0.8918,0.5065366432427407,0.1,0.4174337158839344,0.6465679272991669,0.849839327317034
VTI,0.873,0.333016543314051,0.1,0.4579034003828947,0.8226085601208988,0.6809643038856011
VIG,0.8533,0.206842044446155,0.1125,0.4324033152378643,0.6797679455747687,0.7539418364887663
FNDF,0.8482,0.2391354372869589,0.375,0.6551768500983038,0.5341456379852592,1.0
SCHG,0.8358,0.4711234062314372,0.1125,0.453615690164975,0.9007561384275228,0.3806188576172241
JEPI,0.8342,0.1855538922155688,0.5,0.5777657944031334,0.7801929330328587,0.9715006828589028
ITOT,0.8339,0.3330905040513201,0.1,0.4544510790197485,0.7445629130706064,0.7095359237340333
XLF,0.8268,0.2849463394336721,0.1625,0.4768480341818595,0.950819183136528,0.1035669335618456
VOE,0.8207,0.3064382240854212,0.125,0.4671799901438176,0.4402410178471401,0.9769715877138956
SCHB,0.8162,0.3275728451537381,0.1,0.4596924329289374,0.764853494859584,0.6539230913424203
IJH,0.8158,0.4670249983298017,0.125,0.4040213997842993,0.9607200631184633,0.79638352569424
VV,0.7999,0.3238342742117027,0.1,0.4610923913884833,0.5369551773339996,0.6937739335350669
XLV,0.797,0.2771673092088924,0.1625,0.3204048968713071,0.8955081081134678,0.1
SPY,0.7756,0.3198058512492357,0.18125,0.458539027385738,1.0,0.6832659400690894
VBR,0.7582,0.4778374263478863,0.125,0.4679384001506809,0.5118027891900349,0.8883525694239885
SCHA,0.7536,0.5646487055600174,0.1125,0.412180519075067,0.6151988114087981,0.8000589133170877
VUG,0.7315,0.4631540142489699,0.1,0.451958322797711,0.6831956683458087,0.3175106445652465
IJR,0.7315,0.5847508445393956,0.1375,0.3830727615887547,0.8553353154069014,0.8870631711431862
VT,0.7238,0.2645778083658053,0.1375,0.4997311868185173,0.7501603717979246,0.726912674396808
IWD,0.7227,0.240957469308291,0.2875,0.444414685969647,0.7685127417389686,1.0
RSP,0.7219,0.2901156394463074,0.3125,0.4137575404954925,0.965268721311748,0.9881062046434406
VXF,0.7141,0.5491606845126145,0.125,0.4354260992739451,0.4783623968980005,0.8410183970221996
SPYG,0.6842,0.4411178673455901,0.1125,0.4789185678089862,0.7182709304368811,0.4076359692579601
DIA,0.6823,0.2460373547109032,0.2625,0.420005831144504,0.7717581456174736,0.570341161663498
IVE,0.6761,0.2657471831742772,0.2875,0.4327894285994416,0.590409187590246,1.0
CGDV,0.6708,0.2156020483892753,0.4750000000000001,0.5166702487782979,0.6680542699776333,0.7200318667487883
IUSG,0.651,0.4378500472375646,0.1125,0.461165828977176,0.4945894309944127,0.3378638566799668
XLI,0.6504,0.338339810192857,0.1625,0.4920138541285019,0.8656662058219589,0.1241009024449026
