ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),Div_Score (產出),FinBERT_score,User_Pref_Score
VTV,3.0,2026-04-14,13.09,2.02,12.44,-15.51,0.03,2.69,167.51,7.7042,0.1189,0.706891307884282
VYM,3.0,2026-04-14,12.77,2.37,12.83,-15.02,0.04,1.27,74.77,7.9681,0.0787,0.687387154539729
DGRO,3.0,2026-04-14,12.63,2.1,12.08,-14.97,0.08,1.72,38.61,7.0671,0.0898,0.6669212447571993
USMV,3.0,2026-04-14,8.34,1.59,10.48,-9.68,0.15,2.52,22.65,6.6445,0.1664,0.6557281104290589
VIG,3.0,2026-04-14,12.81,1.61,12.41,-15.36,0.04,1.1,102.34,6.2267,0.0789,0.643470675098176
IUSV,3.0,2026-04-14,12.53,1.81,13.07,-18.56,0.04,0.72,24.68,8.2508,0.1395,0.6401147872684498
SCHF,3.0,2026-04-14,13.92,3.4,15.1,-14.51,0.03,8.49,61.84,6.7935,-0.0677,0.6268984628820146
SCHD,3.0,2026-04-14,7.87,3.44,13.39,-17.64,0.06,13.72,85.76,6.9541,0.0792,0.622975971110315
JEPI,3.0,2026-04-14,1.85,8.4,10.43,-15.93,0.35,4.15,45.29,8.0321,0.1378,0.6209739614549032
VOO,3.0,2026-04-14,18.64,1.19,14.85,-18.97,0.03,6.35,864.41,5.7637,-0.0556,0.5866373468655873
FNDF,3.0,2026-04-14,17.12,3.25,15.0,-14.48,0.25,1.17,22.67,8.4962,0.0004,0.5757493238279323
VOE,3.0,2026-04-14,12.49,1.99,14.08,-19.47,0.05,0.33,21.8,8.0775,-0.0796,0.5637418281492307
VO,3.0,2026-04-14,12.73,1.51,14.91,-19.71,0.03,0.67,95.21,8.2576,-0.0829,0.5437549243483024
XLF,3.0,2026-04-14,16.37,1.6,16.25,-15.85,0.08,42.96,50.19,0.8296,-0.2813,0.4333853115494984
SCHG,3.0,2026-04-14,23.92,0.43,19.43,-23.47,0.04,8.2,50.89,3.1287,0.15,0.3855727699885564
VB,3.0,2026-04-14,13.8,1.34,19.09,-25.94,0.03,0.75,73.1,7.0225,0.2318,0.37338345806720813
IJH,3.0,2026-04-14,12.91,1.32,18.14,-24.62,0.05,8.86,111.4,6.5789,-0.05,0.3715540145161733
